mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09806999999999,31.787506,2019-06-19 08:20:00,0.0,80,80.9,0
413812193,121.09783999999999,31.786640000000002,2019-06-19 08:42:00,4.8,190,189.90001,0
413812193,121.09723999999999,31.784174,2019-06-19 08:44:00,6.8,194,193.7,0
413812193,121.09576000000001,31.775066,2019-06-19 08:48:00,8.4,178,178.8,15
413812193,121.09743999999999,31.766577,2019-06-19 08:52:00,8.900001,170,170.90001,0
413812193,121.09919,31.759186,2019-06-19 08:54:00,9.0,173,173.6,0
413812193,121.0994,31.756729999999997,2019-06-19 08:56:00,9.1,174,175.6,0
413812193,121.09912,31.74793,2019-06-19 08:58:00,8.7,184,185.0,0
413812193,121.097664,31.739357000000002,2019-06-19 09:02:00,8.8,191,191.8,0
413812193,121.09581000000001,31.733513000000002,2019-06-19 09:04:00,8.5,197,197.8,0
413812193,121.09496000000001,31.731333000000003,2019-06-19 09:06:00,8.2,200,201.5,0
413812193,121.09131000000001,31.726276000000002,2019-06-19 09:08:00,4.7000003,224,223.8,0
