mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09047,31.72555,2019-06-20 18:12:00,0.0,106,120.1,0
413812193,121.09173600000001,31.73071,2019-06-20 18:24:00,6.4,352,352.9,15
413812193,121.0901,31.739359999999998,2019-06-20 18:28:00,6.5,2,2.4,0
413812193,121.093216,31.747526,2019-06-20 18:34:00,7.0,24,24.0,0
413812193,121.09493,31.753946000000003,2019-06-20 18:36:00,6.7000003,8,8.400001,0
413812193,121.09556,31.757687,2019-06-20 18:38:00,6.8,11,11.7,15
413812193,121.09623,31.760508,2019-06-20 18:40:00,6.7000003,10,10.1,0
413812193,121.09656000000001,31.762407,2019-06-20 18:42:00,6.7000003,8,7.5,0
413812193,121.09711000000001,31.771027,2019-06-20 18:46:00,7.2000003,9,9.5,0
413812193,121.09581000000001,31.776172999999996,2019-06-20 18:48:00,6.2000003,336,337.80002,0
413812193,121.0956,31.778734000000004,2019-06-20 18:50:00,6.5,18,18.1,0
413812193,121.096985,31.783234000000004,2019-06-20 18:52:00,7.0,15,15.2,0
413812193,121.09759,31.785107,2019-06-20 18:54:00,6.4,10,9.6,0
413812193,121.097946,31.787492999999998,2019-06-20 18:56:00,1.3000001,8,7.4,0
