mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09801499999999,31.78766,2019-06-19 15:46:00,0.0,350,350.9,15
413812193,121.0976,31.785565999999996,2019-06-19 15:54:00,6.4,192,192.40001,0
413812193,121.09671000000002,31.782774,2019-06-19 15:56:00,7.2000003,195,195.6,0
413812193,121.09605400000001,31.779993,2019-06-19 15:58:00,7.3,191,191.1,0
413812193,121.095184,31.7733,2019-06-19 16:00:00,7.7,187,187.6,15
413812193,121.09486399999999,31.771140000000003,2019-06-19 16:02:00,7.6,186,186.8,0
413812193,121.09563,31.760759999999998,2019-06-19 16:06:00,7.5,182,182.5,0
413812193,121.09556,31.757620000000003,2019-06-19 16:08:00,7.5,181,181.3,0
413812193,121.09548000000001,31.754326000000002,2019-06-19 16:10:00,7.4,182,182.3,0
413812193,121.09532,31.750297999999997,2019-06-19 16:12:00,7.5,185,186.1,0
413812193,121.09477,31.74182,2019-06-19 16:16:00,7.7000003,190,190.40001,0
413812193,121.09267,31.738106,2019-06-19 16:18:00,7.0,212,210.7,0
413812193,121.09168999999999,31.73528,2019-06-19 16:20:00,7.4,186,186.2,0
413812193,121.09111999999999,31.730186,2019-06-19 16:22:00,6.9,166,166.1,0
