mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.097824,31.787646999999996,2019-06-21 17:54:00,0.0,81,177.2,0
413812193,121.09687,31.782936,2019-06-21 18:02:00,6.2000003,192,192.1,0
413812193,121.09595,31.775779999999997,2019-06-21 18:06:00,7.1,180,180.0,0
413812193,121.09584,31.772496999999998,2019-06-21 18:08:00,7.1,181,181.40001,0
413812193,121.09581000000001,31.770514000000002,2019-06-21 18:10:00,7.1,180,180.6,0
413812193,121.09602,31.764513,2019-06-21 18:12:00,7.2000003,179,179.0,0
413812193,121.09611000000001,31.759407,2019-06-21 18:14:00,7.4,177,177.3,0
413812193,121.09616000000001,31.758359999999996,2019-06-21 18:16:00,7.5,176,176.90001,0
413812193,121.0978,31.747927,2019-06-21 18:20:00,7.9,164,163.0,0
413812193,121.09836999999999,31.744716999999998,2019-06-21 18:22:00,6.6,188,189.0,0
413812193,121.09316000000001,31.737140000000004,2019-06-21 18:26:00,4.1,225,225.1,0
413812193,121.09252,31.73524,2019-06-21 18:28:00,6.2000003,179,180.0,0
413812193,121.09256,31.730273999999998,2019-06-21 18:30:00,7.2000003,183,183.40001,0
413812193,121.09222,31.727327000000002,2019-06-21 18:32:00,6.5,196,198.2,0
