mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09805,31.787514,2019-06-23 10:20:00,0.0,118,104.9,0
413812193,121.09616000000001,31.775365999999998,2019-06-23 10:34:00,7.7,169,169.8,15
413812193,121.09753400000001,31.76993,2019-06-23 10:36:00,8.2,163,163.90001,0
413812193,121.09839,31.767714,2019-06-23 10:38:00,8.400001,157,157.6,0
413812193,121.10308,31.760479999999998,2019-06-23 10:42:00,7.1,176,174.90001,0
413812193,121.10308,31.7539,2019-06-23 10:44:00,4.0,176,176.6,15
413812193,121.10287,31.749113,2019-06-23 10:46:00,7.6,187,187.6,0
413812193,121.10248999999999,31.74747,2019-06-23 10:48:00,7.3,194,193.0,0
413812193,121.10125,31.744065999999997,2019-06-23 10:50:00,7.6,199,198.8,15
413812193,121.0924,31.728085999999998,2019-06-23 10:58:00,5.9,208,209.90001,0
413812193,121.09042,31.725915999999998,2019-06-23 11:00:00,1.7,216,216.3,0
