mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.098,31.787466,2019-06-19 09:56:00,0.0,354,354.1,0
413812193,121.09636,31.781840000000003,2019-06-19 10:10:00,6.5,190,190.90001,0
413812193,121.095825,31.779987,2019-06-19 10:12:00,6.6,191,190.8,15
413812193,121.09683999999999,31.773320000000002,2019-06-19 10:14:00,8.900001,166,166.2,0
413812193,121.09855,31.767165999999996,2019-06-19 10:16:00,8.8,171,171.90001,0
413812193,121.09928000000001,31.762293,2019-06-19 10:18:00,9.2,170,170.2,0
413812193,121.10053,31.757126,2019-06-19 10:20:00,9.3,172,171.90001,0
413812193,121.10108000000001,31.751917,2019-06-19 10:22:00,9.0,180,180.2,0
413812193,121.10048,31.748386,2019-06-19 10:24:00,8.3,193,193.5,0
413812193,121.09858999999999,31.74288,2019-06-19 10:26:00,7.8,205,205.5,0
413812193,121.09798400000001,31.741916999999997,2019-06-19 10:28:00,7.4,211,211.9,15
413812193,121.0954,31.734274,2019-06-19 10:30:00,8.6,192,191.8,0
413812193,121.09213000000001,31.726940000000003,2019-06-19 10:34:00,6.9,214,215.8,0
