mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09782,31.7875,2019-06-19 21:10:00,0.1,286,286.8,15
413812193,121.09556,31.780174,2019-06-19 21:22:00,6.2000003,190,189.8,0
413812193,121.09565,31.77178,2019-06-19 21:26:00,8.2,173,173.0,0
413812193,121.09636,31.76724,2019-06-19 21:28:00,8.2,173,173.7,0
413812193,121.09652,31.764979999999998,2019-06-19 21:30:00,8.1,177,178.90001,0
413812193,121.09691000000001,31.75865,2019-06-19 21:32:00,8.4,178,178.2,0
413812193,121.097374,31.754509999999996,2019-06-19 21:34:00,4.4,169,168.5,15
413812193,121.09788,31.751987,2019-06-19 21:36:00,8.8,176,174.0,0
413812193,121.09818999999999,31.743893,2019-06-19 21:38:00,8.400001,186,186.40001,0
413812193,121.09630600000001,31.738740000000004,2019-06-19 21:42:00,7.6,181,181.40001,0
413812193,121.09532,31.734323999999997,2019-06-19 21:44:00,8.1,199,199.9,15
413812193,121.09256,31.728037,2019-06-19 21:46:00,7.8,200,201.1,0
413812193,121.09100000000001,31.726133,2019-06-19 21:48:00,3.1000001,223,221.90001,0
