mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09830500000001,31.787613,2019-06-19 04:08:00,0.0,279,117.1,15
413812193,121.09723999999999,31.784000000000002,2019-06-19 04:16:00,6.9,195,194.40001,0
413812193,121.09608999999999,31.780807,2019-06-19 04:18:00,7.4,193,193.90001,0
413812193,121.0956,31.777646999999998,2019-06-19 04:20:00,7.9,183,183.6,0
413812193,121.09518,31.772234,2019-06-19 04:22:00,7.8,180,180.40001,0
413812193,121.095146,31.770094,2019-06-19 04:24:00,7.7000003,182,182.1,0
413812193,121.0956,31.759140000000002,2019-06-19 04:28:00,8.0,169,169.7,0
413812193,121.09586000000002,31.757959999999997,2019-06-19 04:30:00,8.0,168,169.2,0
413812193,121.09955,31.75075,2019-06-19 04:32:00,4.1,159,159.3,15
413812193,121.10008,31.746209999999998,2019-06-19 04:34:00,7.8,185,185.7,0
413812193,121.09988999999999,31.745132,2019-06-19 04:36:00,7.8,189,189.6,0
413812193,121.09793,31.737713,2019-06-19 04:38:00,8.0,186,186.40001,0
413812193,121.09491000000001,31.730959999999996,2019-06-19 04:42:00,5.7000003,233,234.0,0
413812193,121.09331,31.73038,2019-06-19 04:44:00,5.5,242,240.0,0
413812193,121.09081,31.725927000000002,2019-06-19 04:46:00,2.9,222,221.8,0
