mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09785500000001,31.787540000000003,2019-06-17 17:26:00,0.1,207,210.0,0
413812193,121.09711999999999,31.784452,2019-06-17 17:38:00,6.3,192,192.1,15
413812193,121.09543000000001,31.737496999999998,2019-06-17 18:00:00,7.2,201,201.2,15
413812193,121.09263,31.732816999999997,2019-06-17 18:20:00,5.8,352,352.2,15
413812193,121.09534,31.760084000000003,2019-06-17 18:38:00,5.8,16,16.6,15
413812193,121.09756999999999,31.785890000000002,2019-06-17 18:54:00,5.5,12,12.5,15
413812193,121.09796000000001,31.7873,2019-06-17 18:56:00,1.4,14,14.3,15
413812193,121.09539,31.7762,2019-06-17 19:10:00,7.4,177,177.1,15
413812193,121.09736000000001,31.762220000000003,2019-06-17 19:16:00,7.9,172,173.6,0
413812193,121.09899999999999,31.754868,2019-06-17 19:20:00,4.3,166,166.0,15
413812193,121.09113,31.735674,2019-06-17 19:48:00,5.8,347,347.1,15
413812193,121.097664,31.759259999999998,2019-06-17 20:04:00,5.4,9,9.2,15
413812193,121.09648,31.782566,2019-06-17 20:18:00,6.0,12,12.2,15
