mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.090546,31.725437,2019-06-21 01:12:00,0.0,352,290.7,0
413812193,121.09407,31.732933000000003,2019-06-21 01:26:00,6.6,21,21.1,0
413812193,121.09475,31.737593,2019-06-21 01:28:00,7.4,344,343.5,0
413812193,121.094,31.740540000000003,2019-06-21 01:30:00,6.9,356,357.0,15
413812193,121.09418500000001,31.745246999999996,2019-06-21 01:32:00,6.9,358,358.4,0
413812193,121.09438,31.748114,2019-06-21 01:34:00,6.3,18,19.4,0
413812193,121.09553500000001,31.75065,2019-06-21 01:36:00,6.8,14,14.2,0
413812193,121.097824,31.763759999999998,2019-06-21 01:42:00,7.1,359,359.5,0
413812193,121.09728,31.768866999999997,2019-06-21 01:44:00,7.5,350,351.30002,0
413812193,121.09691000000001,31.770953999999996,2019-06-21 01:46:00,7.5,351,352.0,15
413812193,121.096375,31.774079999999998,2019-06-21 01:48:00,7.4,352,351.0,0
413812193,121.09584,31.78108,2019-06-21 01:50:00,6.8,17,17.0,0
413812193,121.09691000000001,31.783787,2019-06-21 01:52:00,6.9,20,19.800001,0
