mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09796000000001,31.787506,2019-06-21 00:34:00,0.3,351,338.30002,0
413812193,121.09782,31.7868,2019-06-21 00:42:00,2.4,186,186.7,15
413812193,121.09602,31.777929999999998,2019-06-21 00:46:00,6.8,180,181.0,0
413812193,121.09643999999999,31.774179999999998,2019-06-21 00:48:00,8.0,173,174.1,15
413812193,121.09828,31.770107,2019-06-21 00:50:00,8.1,152,152.2,0
413812193,121.10025,31.765873,2019-06-21 00:52:00,8.1,167,167.7,0
413812193,121.101,31.761312,2019-06-21 00:54:00,8.5,171,171.5,0
413812193,121.10168,31.75775,2019-06-21 00:56:00,8.7,172,172.2,0
413812193,121.10141000000002,31.751815999999998,2019-06-21 00:58:00,8.2,197,197.5,0
413812193,121.09937,31.747633,2019-06-21 01:00:00,8.2,197,196.7,0
413812193,121.09868,31.745434000000003,2019-06-21 01:02:00,8.3,195,195.3,0
413812193,121.09876000000001,31.738459999999996,2019-06-21 01:04:00,8.2,172,173.1,0
413812193,121.09891,31.736227000000003,2019-06-21 01:06:00,8.0,185,185.3,0
413812193,121.09193400000001,31.726906,2019-06-21 01:10:00,7.0,232,231.6,0
