mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09830500000001,31.7875,2019-06-19 06:58:00,0.0,40,40.3,0
413812193,121.09771,31.785970000000002,2019-06-19 07:02:00,3.2,198,198.2,15
413812193,121.09727,31.784229999999997,2019-06-19 07:04:00,7.4,193,193.40001,0
413812193,121.09525,31.773033,2019-06-19 07:08:00,9.0,176,177.0,15
413812193,121.09572,31.768016999999997,2019-06-19 07:10:00,9.0,174,174.40001,0
413812193,121.096375,31.762997,2019-06-19 07:12:00,9.3,174,173.3,0
413812193,121.09745,31.75242,2019-06-19 07:16:00,9.400001,177,179.1,0
413812193,121.09743999999999,31.741734,2019-06-19 07:20:00,9.6,182,182.5,0
413812193,121.097145,31.739187,2019-06-19 07:22:00,9.400001,187,187.40001,0
413812193,121.09579,31.73416,2019-06-19 07:24:00,8.6,201,201.6,0
413812193,121.093864,31.729588,2019-06-19 07:26:00,8.5,201,200.7,0
413812193,121.0908,31.725887,2019-06-19 07:28:00,3.3,228,227.1,0
