mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09830500000001,31.787434,2019-06-21 10:40:00,0.0,331,331.30002,0
413812193,121.09782,31.785694,2019-06-21 11:00:00,3.7,195,195.40001,0
413812193,121.09702,31.7831,2019-06-21 11:02:00,5.6,197,197.1,0
413812193,121.09616000000001,31.7808,2019-06-21 11:04:00,5.9,198,198.1,0
413812193,121.09629,31.776587,2019-06-21 11:06:00,6.9,166,165.90001,0
413812193,121.09756999999999,31.7728,2019-06-21 11:08:00,7.6,162,161.6,0
413812193,121.09855,31.770634,2019-06-21 11:10:00,8.1,154,154.8,0
413812193,121.10043999999999,31.764427,2019-06-21 11:12:00,7.1,178,178.5,0
413812193,121.10087,31.760294000000002,2019-06-21 11:14:00,7.9,170,170.3,0
413812193,121.103096,31.7516,2019-06-21 11:18:00,7.1,183,183.2,0
413812193,121.10238999999999,31.748533000000002,2019-06-21 11:20:00,6.3,199,200.8,0
413812193,121.10026599999999,31.744417,2019-06-21 11:22:00,6.7000003,203,202.5,0
413812193,121.09873,31.74104,2019-06-21 11:24:00,7.0,199,199.8,0
413812193,121.09749599999999,31.738117,2019-06-21 11:26:00,6.9,199,202.8,0
413812193,121.09383000000001,31.73108,2019-06-21 11:30:00,6.9,202,203.40001,0
