mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09787,31.787553999999997,2019-06-19 19:46:00,0.1,0,0.7,0
413812193,121.09657,31.783407,2019-06-19 19:56:00,6.4,198,198.0,0
413812193,121.09577,31.780777,2019-06-19 19:58:00,6.8,197,197.7,0
413812193,121.09443,31.77576,2019-06-19 20:00:00,7.2,197,199.4,15
413812193,121.09383000000001,31.773794,2019-06-19 20:02:00,7.7000003,180,180.6,0
413812193,121.09443999999999,31.770412,2019-06-19 20:04:00,8.2,169,169.7,0
413812193,121.09523999999999,31.765894,2019-06-19 20:06:00,8.2,171,171.0,0
413812193,121.096176,31.759992999999998,2019-06-19 20:08:00,9.0,168,168.5,0
413812193,121.09773,31.752596,2019-06-19 20:10:00,8.5,179,179.3,0
413812193,121.09773,31.751396000000003,2019-06-19 20:12:00,8.5,181,181.6,0
413812193,121.09748,31.743027,2019-06-19 20:14:00,8.400001,185,188.40001,0
413812193,121.09655,31.738476000000002,2019-06-19 20:16:00,8.400001,190,190.40001,0
413812193,121.09565,31.735014000000003,2019-06-19 20:18:00,8.1,199,199.2,0
413812193,121.09418500000001,31.73197,2019-06-19 20:20:00,7.7000003,200,200.90001,0
413812193,121.09185,31.727240000000002,2019-06-19 20:22:00,6.9,205,206.90001,0
