mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09777,31.78742,2019-06-22 05:06:00,0.0,109,290.1,0
413812193,121.09683999999999,31.783065999999998,2019-06-22 06:56:00,7.5,193,192.7,0
413812193,121.09576000000001,31.777733,2019-06-22 06:58:00,8.3,181,181.4,15
413812193,121.09575,31.7766,2019-06-22 07:00:00,8.3,180,180.7,0
413812193,121.09506999999999,31.770967,2019-06-22 07:02:00,7.8,186,186.40001,0
413812193,121.09418500000001,31.764570000000003,2019-06-22 07:04:00,8.1,184,185.3,0
413812193,121.09392,31.759813,2019-06-22 07:06:00,8.400001,177,176.40001,0
413812193,121.09421999999999,31.75508,2019-06-22 07:08:00,8.5,177,178.40001,0
413812193,121.094376,31.75122,2019-06-22 07:10:00,4.3,177,179.1,15
413812193,121.09447,31.74782,2019-06-22 07:12:00,8.8,177,177.7,0
413812193,121.09322,31.74284,2019-06-22 07:14:00,5.5,224,224.5,0
413812193,121.092026,31.73902,2019-06-22 07:16:00,8.5,174,174.1,0
413812193,121.09208000000001,31.729553000000003,2019-06-22 07:20:00,8.5,184,184.6,0
413812193,121.09083000000001,31.7259,2019-06-22 07:22:00,4.3,218,218.5,0
