mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09048999999999,31.725440000000003,2019-06-19 15:06:00,0.0,184,184.8,0
413812193,121.09052,31.72552,2019-06-19 15:14:00,1.6,39,40.100002,0
413812193,121.09588000000001,31.733513000000002,2019-06-19 15:18:00,7.6,21,21.300001,0
413812193,121.09896,31.741459999999996,2019-06-19 15:22:00,7.5,12,12.900001,0
413812193,121.100784,31.746634000000004,2019-06-19 15:24:00,7.9,18,16.2,0
413812193,121.10103000000001,31.747677000000003,2019-06-19 15:26:00,8.0,5,5.4,0
413812193,121.100296,31.755553999999997,2019-06-19 15:28:00,8.1,353,353.80002,0
413812193,121.1,31.757826,2019-06-19 15:30:00,8.2,354,354.2,0
413812193,121.09908999999999,31.76465,2019-06-19 15:32:00,8.1,353,353.0,0
413812193,121.09834,31.76916,2019-06-19 15:34:00,8.1,350,349.9,15
413812193,121.098,31.787537,2019-06-19 15:44:00,1.5,10,10.900001,0
