mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.090225,31.72568,2019-06-19 16:28:00,0.0,210,210.8,0
413812193,121.08858500000001,31.735674,2019-06-19 16:40:00,7.2000003,353,353.30002,0
413812193,121.08836000000001,31.73866,2019-06-19 16:42:00,6.8,4,6.2,15
413812193,121.08871,31.74248,2019-06-19 16:44:00,6.8,1,1.4,0
413812193,121.08926399999999,31.748257000000002,2019-06-19 16:46:00,7.0,15,15.7,0
413812193,121.09048999999999,31.752067999999998,2019-06-19 16:48:00,7.1,13,14.0,0
413812193,121.09103,31.754009999999997,2019-06-19 16:50:00,7.0,11,11.6,0
413812193,121.093544,31.764120000000002,2019-06-19 16:54:00,7.7000003,10,10.3,0
413812193,121.094,31.768326000000002,2019-06-19 16:56:00,7.5,359,359.5,0
413812193,121.094,31.771520000000002,2019-06-19 16:58:00,7.5,359,1.1,0
413812193,121.09475,31.7757,2019-06-19 17:00:00,7.7000003,15,16.0,0
413812193,121.09607,31.779726,2019-06-19 17:02:00,7.0,12,11.900001,0
413812193,121.097176,31.783453,2019-06-19 17:04:00,6.8,5,5.3,0
413812193,121.09787,31.7871,2019-06-19 17:06:00,4.8,10,11.1,0
