mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09798,31.787609999999997,2019-06-19 13:00:00,0.0,289,289.3,15
413812193,121.09687,31.78332,2019-06-19 13:06:00,7.2000003,195,195.1,0
413812193,121.09656000000001,31.782346999999998,2019-06-19 13:08:00,7.2000003,193,193.0,0
413812193,121.09576000000001,31.775285999999998,2019-06-19 13:10:00,7.5,176,176.7,0
413812193,121.09596,31.766586,2019-06-19 13:14:00,7.8,178,179.0,0
413812193,121.09614599999999,31.763279999999998,2019-06-19 13:16:00,8.0,174,174.90001,0
413812193,121.09661000000001,31.759915999999997,2019-06-19 13:18:00,8.2,171,171.8,15
413812193,121.09725,31.75409,2019-06-19 13:20:00,8.3,175,175.2,0
413812193,121.097176,31.744359999999997,2019-06-19 13:24:00,7.2000003,165,165.90001,0
413812193,121.09798,31.74254,2019-06-19 13:26:00,6.4,155,155.3,0
413812193,121.09905,31.740334000000004,2019-06-19 13:28:00,4.1,188,188.7,0
413812193,121.09728999999999,31.735816999999997,2019-06-19 13:30:00,7.6,200,200.6,0
413812193,121.0932,31.72908,2019-06-19 13:34:00,7.6,212,209.6,0
