mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09031999999999,31.725758000000003,2019-06-23 23:10:00,0.0,131,105.6,0
413812193,121.09232,31.730605999999998,2019-06-23 23:16:00,6.3,9,8.2,15
413812193,121.09263999999999,31.73204,2019-06-23 23:18:00,6.3,8,9.1,0
413812193,121.09378999999998,31.740177000000003,2019-06-23 23:22:00,6.2000003,16,17.1,0
413812193,121.09543000000001,31.745033000000003,2019-06-23 23:24:00,5.9,11,13.1,0
413812193,121.09623,31.748246999999996,2019-06-23 23:26:00,5.8,9,8.400001,0
413812193,121.09629,31.749059999999997,2019-06-23 23:28:00,5.7000003,4,4.2000003,0
413812193,121.0968,31.756956,2019-06-23 23:32:00,5.7000003,12,12.8,0
413812193,121.09723000000001,31.758526,2019-06-23 23:34:00,5.7,11,12.1,15
413812193,121.09696000000001,31.767527,2019-06-23 23:38:00,6.3,352,351.7,0
413812193,121.096375,31.771927,2019-06-23 23:42:00,6.2000003,350,350.80002,0
413812193,121.09451999999999,31.77727,2019-06-23 23:44:00,4.6,8,8.900001,0
413812193,121.09631999999999,31.781187,2019-06-23 23:48:00,5.8,13,13.400001000000001,0
413812193,121.09828,31.78623,2019-06-23 23:50:00,4.7000003,33,33.5,0
413812193,121.09888000000001,31.78707,2019-06-23 23:52:00,1.6,14,14.8,0
