mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.097824,31.787540000000003,2019-06-24 15:10:00,0.0,26,147.6,0
413812193,121.09598500000001,31.780733,2019-06-24 15:22:00,5.7000003,193,193.3,0
413812193,121.09563,31.775046999999997,2019-06-24 15:24:00,5.8,178,178.1,0
413812193,121.09486000000001,31.770120000000002,2019-06-24 15:28:00,5.9,186,180.0,0
413812193,121.09598500000001,31.751307,2019-06-24 15:38:00,6.3,187,187.2,0
413812193,121.0957,31.747757,2019-06-24 15:40:00,6.3,175,175.90001,0
413812193,121.09569499999999,31.746979999999997,2019-06-24 15:42:00,6.1,182,185.7,0
413812193,121.095055,31.7398,2019-06-24 15:46:00,6.1,194,194.0,0
413812193,121.09405500000001,31.733574,2019-06-24 15:48:00,6.3,196,196.2,0
413812193,121.09324,31.731028000000002,2019-06-24 15:50:00,5.9,193,193.1,0
