mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09788,31.787537,2019-06-23 22:28:00,0.0,92,108.200005,0
413812193,121.09728,31.784053999999998,2019-06-23 22:34:00,6.2000003,192,192.6,0
413812193,121.09603999999999,31.780635999999998,2019-06-23 22:36:00,6.1,206,206.7,0
413812193,121.094376,31.777240000000003,2019-06-23 22:38:00,7.2,183,182.9,15
413812193,121.09454,31.774887,2019-06-23 22:40:00,7.4,171,171.40001,0
413812193,121.09493,31.7711,2019-06-23 22:42:00,7.4,176,176.1,0
413812193,121.09523,31.767020000000002,2019-06-23 22:44:00,7.4,174,174.2,0
413812193,121.09766,31.752067999999998,2019-06-23 22:50:00,7.6,183,183.5,0
413812193,121.0975,31.748873,2019-06-23 22:52:00,7.8,178,179.40001,0
413812193,121.09721,31.74118,2019-06-23 22:56:00,7.8,185,184.90001,0
413812193,121.09633999999998,31.734587,2019-06-23 22:58:00,7.3,196,195.7,0
413812193,121.09311000000001,31.72835,2019-06-23 23:02:00,6.9,211,210.2,0
413812193,121.09038500000001,31.725876,2019-06-23 23:04:00,2.1000001,213,213.7,0
