mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09042,31.725554,2019-06-19 13:38:00,0.2,234,234.2,0
413812193,121.09518,31.732896999999998,2019-06-19 13:50:00,7.7000003,24,24.0,0
413812193,121.09743999999999,31.73668,2019-06-19 13:52:00,7.6,28,23.2,0
413812193,121.09844,31.738667,2019-06-19 13:54:00,7.8,21,19.4,0
413812193,121.10055,31.743914,2019-06-19 13:56:00,8.1,12,12.0,0
413812193,121.10021,31.749516999999997,2019-06-19 13:58:00,8.0,354,355.9,0
413812193,121.09952,31.7569,2019-06-19 14:02:00,8.3,357,357.0,0
413812193,121.09881999999999,31.762079999999997,2019-06-19 14:04:00,8.7,350,350.7,0
413812193,121.09772,31.76819,2019-06-19 14:06:00,8.8,350,350.7,0
413812193,121.096855,31.771494,2019-06-19 14:08:00,8.8,347,347.2,0
413812193,121.09518,31.777746,2019-06-19 14:10:00,7.6,10,12.1,0
413812193,121.09643999999999,31.781727000000004,2019-06-19 14:12:00,7.2000003,15,15.8,0
413812193,121.09728999999999,31.784456,2019-06-19 14:14:00,6.0,11,11.5,0
413812193,121.09782,31.786540000000002,2019-06-19 14:16:00,4.3,6,6.8,0
