mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.090546,31.725459999999998,2019-06-25 18:42:00,0.0,34,303.80002,0
413812193,121.09163999999998,31.726809999999997,2019-06-25 18:48:00,5.6,36,36.0,0
413812193,121.09263,31.72833,2019-06-25 18:50:00,6.6,19,22.300001,0
413812193,121.09736000000001,31.741037,2019-06-25 18:56:00,6.8,11,11.8,0
413812193,121.098,31.745835999999997,2019-06-25 18:58:00,6.8,2,2.2,0
413812193,121.09798400000001,31.74956,2019-06-25 19:00:00,6.9,355,355.0,0
413812193,121.09772,31.751507,2019-06-25 19:02:00,6.6,353,351.0,0
413812193,121.09733999999999,31.756977000000003,2019-06-25 19:04:00,6.5,1,3.8,0
413812193,121.09711999999999,31.762527000000002,2019-06-25 19:08:00,6.9,351,351.80002,0
413812193,121.09650400000001,31.76833,2019-06-25 19:10:00,6.9,351,351.7,0
413812193,121.09553500000001,31.772194,2019-06-25 19:12:00,7.2,348,350.1,15
413812193,121.09496000000001,31.776166999999997,2019-06-25 19:14:00,7.0,359,0.3,0
413812193,121.095055,31.77717,2019-06-25 19:16:00,6.9,7,7.0,0
413812193,121.096855,31.783929999999998,2019-06-25 19:18:00,6.8,16,16.0,0
413812193,121.09771,31.786787,2019-06-25 19:20:00,4.2000003,15,15.3,0
