mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.098,31.7876,2019-06-23 08:46:00,0.1,330,286.7,0
413812193,121.09738999999999,31.7846,2019-06-23 08:58:00,6.6,189,189.7,0
413812193,121.09603999999999,31.779457,2019-06-23 09:00:00,7.4,187,186.90001,0
413812193,121.09573,31.775093,2019-06-23 09:02:00,8.0,178,177.6,15
413812193,121.09643,31.768347,2019-06-23 09:06:00,8.400001,169,169.90001,0
413812193,121.09736000000001,31.762617,2019-06-23 09:08:00,8.400001,172,172.6,0
413812193,121.09787,31.757994,2019-06-23 09:10:00,8.3,175,175.6,0
413812193,121.09792,31.7533,2019-06-23 09:12:00,8.0,184,185.1,0
413812193,121.09778600000001,31.74747,2019-06-23 09:14:00,8.400001,181,181.40001,0
413812193,121.09741000000001,31.742746,2019-06-23 09:16:00,8.400001,185,185.6,0
413812193,121.09702,31.74042,2019-06-23 09:18:00,8.3,190,190.3,0
413812193,121.095894,31.735914,2019-06-23 09:20:00,8.2,193,192.90001,0
413812193,121.0944,31.7298,2019-06-23 09:22:00,5.7,202,204.3,15
