mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09805,31.787546000000003,2019-06-25 12:00:00,0.0,313,313.5,0
413812193,121.09611000000001,31.781214000000002,2019-06-25 12:08:00,6.8,196,196.40001,0
413812193,121.09539,31.772292999999998,2019-06-25 12:14:00,7.2,180,180.4,15
413812193,121.09558999999999,31.768271999999996,2019-06-25 12:16:00,7.1,179,179.5,0
413812193,121.09682,31.756794,2019-06-25 12:20:00,8.0,171,165.90001,0
413812193,121.09773,31.752470000000002,2019-06-25 12:22:00,7.9,173,171.1,0
413812193,121.09803000000001,31.749215999999997,2019-06-25 12:24:00,7.7000003,173,179.2,0
413812193,121.09808999999998,31.744885999999997,2019-06-25 12:26:00,7.9,181,180.8,0
413812193,121.097946,31.742736999999998,2019-06-25 12:28:00,7.7000003,185,183.0,0
413812193,121.09716,31.736353,2019-06-25 12:30:00,7.5,191,192.40001,0
413812193,121.09630600000001,31.733828000000003,2019-06-25 12:32:00,7.2000003,200,201.40001,0
413812193,121.09348999999999,31.729053000000004,2019-06-25 12:34:00,6.8,207,207.1,0
413812193,121.09095,31.72618,2019-06-25 12:36:00,4.3,208,208.1,0
