mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.090294,31.7258,2019-06-25 15:38:00,0.1,318,303.1,0
413812193,121.09253999999999,31.729177000000004,2019-06-25 15:52:00,7.3,20,20.6,0
413812193,121.09766,31.741093,2019-06-25 15:58:00,6.6,11,11.5,0
413812193,121.0985,31.745620000000002,2019-06-25 16:00:00,6.5,358,358.6,0
413812193,121.09844,31.748493,2019-06-25 16:02:00,6.7000003,359,357.80002,0
413812193,121.09836000000001,31.752059999999997,2019-06-25 16:04:00,6.7000003,358,358.2,0
413812193,121.09843000000001,31.755587,2019-06-25 16:06:00,6.2000003,5,7.0,0
413812193,121.098854,31.758976,2019-06-25 16:08:00,6.5,3,3.4,0
413812193,121.09925,31.763813,2019-06-25 16:10:00,7.0,358,1.8000001,0
413812193,121.09888000000001,31.766772999999997,2019-06-25 16:12:00,7.1,349,349.0,0
413812193,121.09728999999999,31.772493,2019-06-25 16:14:00,6.9,348,348.4,0
413812193,121.09700000000001,31.77344,2019-06-25 16:16:00,7.2000003,344,344.0,0
413812193,121.09596,31.780094000000002,2019-06-25 16:18:00,7.1,16,16.800001,0
413812193,121.09772,31.786009999999997,2019-06-25 16:22:00,5.2000003,9,9.7,0
