mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09031,31.7255,2019-06-19 03:26:00,0.0,320,280.6,0
413812193,121.09899999999999,31.735676,2019-06-19 03:40:00,7.6,51,51.8,0
413812193,121.10185,31.738327,2019-06-19 03:42:00,7.7,36,37.3,15
413812193,121.1052,31.7427,2019-06-19 03:44:00,7.5,12,12.2,0
413812193,121.10472,31.74682,2019-06-19 03:46:00,7.8,348,348.1,0
413812193,121.10278000000001,31.752186,2019-06-19 03:50:00,7.8,339,339.9,0
413812193,121.0993,31.762559999999997,2019-06-19 03:54:00,7.9,343,343.2,0
413812193,121.09773,31.767816999999997,2019-06-19 03:56:00,7.9,346,346.7,0
413812193,121.09645,31.7724,2019-06-19 03:58:00,7.8,345,345.1,0
413812193,121.095894,31.7743,2019-06-19 04:00:00,7.7000003,344,344.2,0
413812193,121.0974,31.784058,2019-06-19 04:04:00,6.9,11,11.5,0
413812193,121.09811,31.786853999999998,2019-06-19 04:06:00,3.7,12,12.3,0
