mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09042,31.725576,2019-06-23 20:14:00,0.1,300,301.30002,0
413812193,121.09063,31.72573,2019-06-23 20:20:00,2.6000001,45,43.8,0
413812193,121.09101000000001,31.732640000000004,2019-06-23 20:26:00,5.8,1,1.7,0
413812193,121.091095,31.738358,2019-06-23 20:28:00,5.7,7,8.4,15
413812193,121.09133,31.73915,2019-06-23 20:30:00,5.8,17,18.5,0
413812193,121.09329,31.744667,2019-06-23 20:32:00,5.9,12,15.400001000000001,0
413812193,121.09378999999998,31.746215999999997,2019-06-23 20:34:00,5.7000003,12,13.6,0
413812193,121.09513000000001,31.754107,2019-06-23 20:38:00,5.6,9,8.7,0
413812193,121.09605400000001,31.760433000000003,2019-06-23 20:42:00,5.7000003,4,4.2000003,0
413812193,121.09543000000001,31.766996000000002,2019-06-23 20:46:00,6.1,355,354.6,0
413812193,121.09496000000001,31.77122,2019-06-23 20:50:00,6.0,355,356.30002,0
413812193,121.09512,31.777209999999997,2019-06-23 20:52:00,6.3,11,11.0,0
413812193,121.09613,31.78055,2019-06-23 20:54:00,6.0,12,12.5,0
