mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09805,31.787585999999997,2019-06-20 17:28:00,0.0,223,344.9,0
413812193,121.09763999999998,31.7857,2019-06-20 17:40:00,6.2,188,189.0,15
413812193,121.096855,31.782974,2019-06-20 17:42:00,7.1,191,191.5,0
413812193,121.09611000000001,31.780067,2019-06-20 17:44:00,7.2000003,192,194.0,0
413812193,121.09548000000001,31.773808000000002,2019-06-20 17:46:00,7.7000003,174,174.6,0
413812193,121.09563,31.772738,2019-06-20 17:48:00,7.7000003,172,172.2,0
413812193,121.09643999999999,31.760865999999996,2019-06-20 17:52:00,7.8,180,180.5,0
413812193,121.09618,31.75648,2019-06-20 17:54:00,7.8,184,184.2,0
413812193,121.09602,31.75432,2019-06-20 17:56:00,7.7,182,182.7,15
413812193,121.09557,31.747846999999997,2019-06-20 17:58:00,8.0,185,185.5,0
413812193,121.0956,31.737854,2019-06-20 18:04:00,5.3,184,184.7,0
413812193,121.09523,31.736096999999997,2019-06-20 18:06:00,7.1,195,195.8,0
413812193,121.093506,31.73103,2019-06-20 18:08:00,7.6,195,195.0,0
413812193,121.0909,31.72598,2019-06-20 18:10:00,4.0,224,223.6,0
