mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09801499999999,31.787533000000003,2019-06-23 18:12:00,0.7,204,206.6,0
413812193,121.09634399999999,31.781336,2019-06-23 18:16:00,6.8,195,194.7,0
413812193,121.09584,31.777465999999997,2019-06-23 18:18:00,7.3,180,180.8,0
413812193,121.09579,31.7734,2019-06-23 18:20:00,7.3,180,181.1,0
413812193,121.09611000000001,31.769356,2019-06-23 18:22:00,7.2000003,173,173.7,0
413812193,121.09666399999999,31.765127000000003,2019-06-23 18:24:00,7.3,172,172.6,0
413812193,121.09738999999999,31.759346,2019-06-23 18:28:00,7.6,183,183.1,0
413812193,121.096825,31.752287,2019-06-23 18:30:00,7.6,183,183.3,0
413812193,121.096,31.748596000000003,2019-06-23 18:32:00,7.2000003,200,200.3,0
413812193,121.09501999999999,31.747034000000003,2019-06-23 18:34:00,7.0,215,215.2,0
413812193,121.09158000000001,31.739303999999997,2019-06-23 18:38:00,7.3,175,176.2,15
413812193,121.0918,31.735159999999997,2019-06-23 18:40:00,7.5,178,178.1,0
413812193,121.09173999999999,31.730976000000002,2019-06-23 18:42:00,7.4,178,178.8,0
413812193,121.09195,31.727859999999996,2019-06-23 18:44:00,7.4,178,178.2,0
