mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.097946,31.787553999999997,2019-06-25 13:28:00,0.0,305,105.1,0
413812193,121.09531000000001,31.77828,2019-06-25 13:40:00,7.1,189,188.90001,0
413812193,121.09539,31.774379999999997,2019-06-25 13:42:00,7.0,177,178.3,0
413812193,121.09534,31.772471999999997,2019-06-25 13:44:00,7.0,177,178.1,0
413812193,121.09652,31.76448,2019-06-25 13:48:00,7.3,172,172.5,0
413812193,121.0982,31.745714000000003,2019-06-25 13:56:00,7.7000003,183,183.6,0
413812193,121.098145,31.744559999999996,2019-06-25 13:58:00,7.6,182,181.8,0
413812193,121.0978,31.740396,2019-06-25 14:00:00,7.4,179,186.5,0
413812193,121.09646599999999,31.73432,2019-06-25 14:02:00,7.3,199,200.2,0
413812193,121.09031,31.72585,2019-06-25 14:08:00,1.7,224,224.3,0
