mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09037,31.725557000000002,2019-06-24 17:34:00,0.1,209,300.1,0
413812193,121.09241499999999,31.72748,2019-06-24 17:44:00,5.2,39,37.2,15
413812193,121.093575,31.730172999999997,2019-06-24 17:46:00,5.9,351,348.80002,0
413812193,121.09145,31.741207,2019-06-24 17:54:00,6.1,351,352.1,0
413812193,121.091705,31.744391999999998,2019-06-24 17:56:00,5.8,9,9.6,0
413812193,121.09098999999999,31.75116,2019-06-24 18:00:00,4.9,354,350.0,0
413812193,121.09149,31.7556,2019-06-24 18:02:00,5.6,7,7.5,0
413812193,121.091866,31.757113,2019-06-24 18:04:00,5.5,15,15.2,0
413812193,121.093506,31.76153,2019-06-24 18:06:00,5.7000003,17,17.9,0
413812193,121.095184,31.769266,2019-06-24 18:12:00,6.6,3,3.7,0
413812193,121.09496999999999,31.775667,2019-06-24 18:14:00,6.8,357,357.5,15
413812193,121.09496999999999,31.776596,2019-06-24 18:16:00,6.6,2,2.5,0
413812193,121.09607,31.781487,2019-06-24 18:18:00,5.0,32,32.100002,0
413812193,121.09682,31.782694,2019-06-24 18:20:00,5.6,15,16.4,0
