mmsi,经度,纬度,时间,速度,船首向,对地航向,航行状态
413812193,121.09063,31.725527000000003,2019-06-19 10:36:00,0.0,220,220.2,0
413812193,121.09216,31.73028,2019-06-19 10:46:00,7.1,8,7.6,0
413812193,121.09244,31.733227000000003,2019-06-19 10:48:00,6.9,3,2.9,0
413812193,121.09253999999999,31.736053000000002,2019-06-19 10:50:00,6.8,1,1.0,0
413812193,121.09251,31.739733,2019-06-19 10:52:00,6.3,4,4.2000003,0
413812193,121.0937,31.743298,2019-06-19 10:54:00,6.8,22,22.4,0
413812193,121.09611000000001,31.749585999999997,2019-06-19 10:58:00,6.8,22,22.2,15
413812193,121.09834,31.756207,2019-06-19 11:02:00,5.4,3,3.7,0
413812193,121.09852,31.759077,2019-06-19 11:04:00,5.8,7,7.7000003,0
413812193,121.09830500000001,31.766933,2019-06-19 11:08:00,6.5,353,353.80002,0
413812193,121.09608999999999,31.780478000000002,2019-06-19 11:16:00,6.6,14,14.7,0
413812193,121.097466,31.78477,2019-06-19 11:18:00,6.2000003,17,17.0,0
